datetime,Current,Active_Power,Fordward_Energy,createdAt
2023-05-18 16:19:47.760,0.73,109,0.12,2023-05-18 16:19:47.760
2023-05-18 16:19:53.379,0.73,109,0.12,2023-05-18 16:19:53.379
2023-05-18 16:20:05.650,0.73,109,0.12,2023-05-18 16:20:05.650
2023-05-18 16:20:11.391,0.73,109,0.12,2023-05-18 16:20:11.391
2023-05-18 16:20:17.739,0.73,109,0.12,2023-05-18 16:20:17.739
2023-05-18 16:20:23.643,0.73,109,0.12,2023-05-18 16:20:23.643
2023-05-18 16:20:29.334,0.73,109,0.12,2023-05-18 16:20:29.334
2023-05-18 16:20:38.598,0.73,109,0.12,2023-05-18 16:20:38.598
2023-05-18 16:20:45.459,0.73,109,0.12,2023-05-18 16:20:45.459
2023-05-18 16:20:54.688,0.73,109,0.12,2023-05-18 16:20:54.688
2023-05-18 16:21:01.211,0.73,109,0.12,2023-05-18 16:21:01.211
2023-05-18 16:21:10.630,0.73,109,0.12,2023-05-18 16:21:10.630
2023-05-18 16:21:17.565,0.73,109,0.13,2023-05-18 16:21:17.565
2023-05-18 16:21:25.143,0.73,109,0.13,2023-05-18 16:21:25.143
2023-05-18 16:21:38.094,0.73,109,0.13,2023-05-18 16:21:38.094
2023-05-18 16:21:44.627,0.73,109,0.13,2023-05-18 16:21:44.627
2023-05-18 16:21:50.617,0.73,109,0.13,2023-05-18 16:21:50.617
2023-05-18 16:21:59.683,0.73,109,0.13,2023-05-18 16:21:59.683
2023-05-18 16:22:10.787,0.73,109,0.13,2023-05-18 16:22:10.787
2023-05-18 16:22:17.290,0.73,109,0.13,2023-05-18 16:22:17.290
2023-05-18 16:22:23.620,0.74,109,0.13,2023-05-18 16:22:23.620
2023-05-18 16:22:37.036,0.74,109,0.13,2023-05-18 16:22:37.036
2023-05-18 16:22:44.493,0.74,109,0.13,2023-05-18 16:22:44.493
2023-05-18 16:22:50.647,0.74,109,0.13,2023-05-18 16:22:50.647
2023-05-18 16:22:56.555,0.74,109,0.13,2023-05-18 16:22:56.555
2023-05-18 16:23:02.970,0.74,109,0.13,2023-05-18 16:23:02.970
2023-05-18 16:23:10.699,0.74,109,0.13,2023-05-18 16:23:10.699
2023-05-18 16:23:25.399,0.74,109,0.13,2023-05-18 16:23:25.399
2023-05-18 16:23:28.253,0.73,109,0.13,2023-05-18 16:23:28.253
2023-05-18 16:23:39.588,0.73,109,0.13,2023-05-18 16:23:39.588
2023-05-18 16:23:55.013,0.73,109,0.13,2023-05-18 16:23:55.013
2023-05-18 16:24:00.530,0.74,109,0.13,2023-05-18 16:24:00.530
2023-05-18 16:24:06.330,0.74,109,0.13,2023-05-18 16:24:06.330
2023-05-18 16:24:14.782,0.74,109,0.13,2023-05-18 16:24:14.782
2023-05-18 16:24:20.729,0.74,109,0.13,2023-05-18 16:24:20.729
2023-05-18 16:24:26.857,0.74,109,0.13,2023-05-18 16:24:26.857
2023-05-18 16:24:32.646,0.74,109,0.13,2023-05-18 16:24:32.646
2023-05-18 16:24:38.383,0.74,109,0.13,2023-05-18 16:24:38.383
2023-05-18 16:24:44.671,0.74,109,0.13,2023-05-18 16:24:44.671
2023-05-18 16:24:55.508,0.73,109,0.13,2023-05-18 16:24:55.508
2023-05-18 16:25:06.255,0.74,109,0.13,2023-05-18 16:25:06.255
2023-05-18 16:25:16.923,0.73,109,0.13,2023-05-18 16:25:16.923
